Abbreviation,Team,Conference,Division,Wins,Losses,latitude,longitude,QB,Stadium,Coach
NYJ,New York Jets,AFC,East,7,10,40.812194,-74.076983,Aaron Rodgers,MetLife Stadium,Robert Saleh
NYJ,New York Jets,AFC,East,7,10,40.812194,-74.076983,Zach Wilson,MetLife Stadium,Robert Saleh
NYJ,New York Jets,AFC,East,7,10,40.812194,-74.076983,Tim Boyle,MetLife Stadium,Robert Saleh
NYJ,New York Jets,AFC,East,7,10,40.812194,-74.076983,Trevor Siemian,MetLife Stadium,Robert Saleh

PHI,Philadelphia Eagles,NFC,East,11,6,39.900775,-75.167453,Jalen Hurts,Lincoln Financial Field,Nick Sirianni

PIT,Pittsburgh Steelers,AFC,North,10,7,40.446786,-80.01576,Kenny Pickett,Acrisure Stadium,Mike Tomlin
PIT,Pittsburgh Steelers,AFC,North,10,7,40.446786,-80.01576,Mitch Trubisky,Acrisure Stadium,Mike Tomlin
PIT,Pittsburgh Steelers,AFC,North,10,7,40.446786,-80.01576,Mason Rudolph,Acrisure Stadium,Mike Tomlin

SF,San Francisco 49ers,NFC,West,12,5,37.7749,-122.4194,Brock Purdy,Levi's Stadium,Kyle Shanahan	
SF,San Francisco 49ers,NFC,West,12,5,37.7749,-122.4194,Sam Darnold,Levi's Stadium,Kyle Shanahan

SEA,Seattle Seahawks,NFC,West,9,8,47.595153,-122.331625,Geno Smith,Lumen Field,Pete Carroll
SEA,Seattle Seahawks,NFC,West,9,8,47.595153,-122.331625,Drew Lock,Lumen Field,Pete Carroll

TB,Tampa Bay Buccaneers,NFC,South,9,8,27.975967,-82.50335,Baker Mayfield,Raymond James Stadium,Todd Bowles


TEN,Tennessee Titans,AFC,South,6,11,36.166461,-86.771289,Ryan Tannehill,Nissan Stadium,Mike Vrabel
TEN,Tennessee Titans,AFC,South,6,11,36.166461,-86.771289,Malik Willis,Nissan Stadium,Mike Vrabel
TEN,Tennessee Titans,AFC,South,6,11,36.166461,-86.771289,Will Levis,Nissan Stadium,Mike Vrabel

WAS,Washington Commanders,NFC,East,4,13,38.907697,-76.864517,Sam Howell,Commanders Field,Ron Rivera

