WK,RATE
1,96.2
2,65.5
3,104.6
4,68.2
5,114.7
6,83.2
7,73.4
8,133.3
9,108.8
10,87.7
12,77.1
13,105.5
14,88.5
15,134.8
16,106.2
17,111.1
18,145.5
