WK,RATE
1,94.1
2,121.8
3,85.8
4,86.9
5,132.4
6,107.5
7,68.4
8,89
10,122.4
11,68.3
12,103.6
13,117.6
14,54.6
15,134.6
16,99.7
17,67.2
18,124.5
