WK,RATE
1,123.2
2,113.5
3,66.4
4,69.9
5,32.2
7,90.8
8,72.1
9,115.5
10,71.8
11,108.5
12,125.5
13,118.6
14,76.7
15,111.5
16,109.1
17,125.3
18,128.6
