WK,RATE
1,89.2
2,98
3,71.6
4,112.3
5,87.9
6,59.5
7,109.5
8,135.8
9,130.2
11,64.6
12,96.2
13,85.2
14,88
15,40.1
16,85.5
17,118.4
18,26.8
