WK,RATE
1,111.3
2,93.1
3,111.3
4,134.6
5,144.4
6,55.3
7,81.5
8,94.2
10,148.9
11,158.3
12,86.7
13,148.8
14,122.1
15,135.3
16,42.6
17,124.7
