WK,RATE
1,48.8
2,87.1
4,93.2
5,82.1
6,85.1
8,103.6
9,48.3
10,68.4	
11,62.9	
12,76.6
13,52.9
14,13.3
15,93.6
16,110
17,53.1
18,74.8
