WK,RATE
1,77.5
2,98.1
3,127.3
4,63.6
5,109.9
6,94.4
7,129.5
8,59.1
9,105.6
11,71.6
12,122.8
13,79.1
14,74.8
15,92.7
16,73.6
17,109.1
