WK,RATE
1,94.4
2,114.5
3,73.1
4,116.9
6,56.8
7,81
8,91.1
9,119.4
10,102.4
11,76.7
12,93.6
13,68.5
14,86
15,158.3
16,116.7
17,91.6
18,72
