WK,RATE
1,72
2,112.2
3,78
4,108.5
5,51.6
6,109.3
8,133.7
9,115.2
10,138.3
11,95.2
12,142.1
13,115.8
14,99.4
15,57.7
16,107.9
17,103.5
18,124.4
